1p.prs	1p.pst	3p.prs	3p.pst
oppose	opposed	opposes	opposed
oppress	oppressed	oppresses	oppressed
oppugn	oppugned	oppugns	oppugned
orate	orated	orates	orated
orbit	orbited	orbits	orbited
orchestrate	orchestrated	orchestrates	orchestrated
ordain	ordained	ordains	ordained
order	ordered	orders	ordered
organize	organized	organizes	organized
orient	oriented	orients	oriented
orientate	orientated	orientates	orientated
originate	originated	originates	originated
ornament	ornamented	ornaments	ornamented
orphan	orphaned	orphans	orphaned
oscillate	oscillated	oscillates	oscillated
osculate	osculated	osculates	osculated
ossify	ossified	ossifies	ossified
ostracize	ostracized	ostracizes	ostracized
ought	ought	ought	ought
oust	ousted	ousts	ousted
out	outed	outs	outed
outbalance	outbalanced	outbalances	outbalanced
outbid	outbade	outbids	outbade
outbrave	outbraved	outbraves	outbraved
outclass	outclassed	outclasses	outclassed
outdate	outdated	outdates	outdated
outdistance	outdistanced	outdistances	outdistanced
outdo	outdid	outdoes	outdid
outface	outfaced	outfaces	outfaced
outfight	outfought	outfights	outfought
outfit	outfitted	outfits	outfitted
outflank	outflanked	outflanks	outflanked
outfox	outfoxed	outfoxes	outfoxed
outgeneral	outgeneralled	outgenerals	outgeneralled
outgo	outwent	outgoes	outwent
outgrow	outgrew	outgrows	outgrew
out-Herod	out-Heroded	out-Herods	out-Heroded
outlast	outlasted	outlasts	outlasted
outlaw	outlawed	outlaws	outlawed
outlay	outlaid	outlays	outlaid
outline	outlined	outlines	outlined
outlive	outlived	outlives	outlived
outmanoeuvre	outmanoeuvred	outmanoeuvres	outmanoeuvred
outmarch	outmarched	outmarches	outmarched
outmatch	outmatched	outmatches	outmatched
outnumber	outnumbered	outnumbers	outnumbered
outplay	outplayed	outplays	outplayed
outpoint	outpointed	outpoints	outpointed
outrage	outraged	outrages	outraged
outrange	outranged	outranges	outranged
outrank	outranked	outranks	outranked
outride	outrode	outrides	outrode
outrival	outrivalled	outrivals	outrivalled
outrun	outran	outruns	outran
outsail	outsailed	outsails	outsailed
outsell	outsold	outsells	outsold
outshine	outshone	outshines	outshone
outsmart	outsmarted	outsmarts	outsmarted
outspan	outspanned	outspans	outspanned
outstay	outstayed	outstays	outstayed
outstrip	outstripped	outstrips	outstripped
outtalk	outtalked	outtalks	outtalked
outvie	outvied	outvies	outvied
outvote	outvoted	outvotes	outvoted
outwear	outwore	outwears	outwore
outweigh	outweighed	outweighs	outweighed
outwit	outwitted	outwits	outwitted
overact	overacted	overacts	overacted
overarch	overarched	overarches	overarched
overawe	overawed	overawes	overawed
overbalance	overbalanced	overbalances	overbalanced
overbear	overbore	overbears	overbore
overbid	overbid	overbids	overbid
overburden	overburdened	overburdens	overburdened
overcall	overcalled	overcalls	overcalled
overcapitalize	overcapitalized	overcapitalizes	overcapitalized
overcharge	overcharged	overcharges	overcharged
overcloud	overclouded	overclouds	overclouded
overcome	overcame	overcomes	overcame
overcompensate	overcompensated	overcompensates	overcompensated
over-cook	over-cooked	over-cooks	over-cooked
overcrop	overcropped	overcrops	overcropped
overcrowd	overcrowded	overcrowds	overcrowded
overdevelop	overdeveloped	overdevelops	overdeveloped
overdo	overdid	overdoes	overdid
overdraw	overdrew	overdraws	overdrew
overdress	overdressed	overdresses	overdressed
over-eat	over-ate	over-eats	over-ate
over-emphasize	over-emphasized	over-emphasizes	over-emphasized
overestimate	overestimated	overestimates	overestimated
over-exert	over-exerted	over-exerts	over-exerted
overexpose	overexposed	overexposes	overexposed
overflow	overflowed	overflows	overflowed
overfly	overflew	overflies	overflew
overhang	overhung	overhangs	overhung
overhaul	overhauled	overhauls	overhauled
overhear	overheard	overhears	overheard
over-heat	over-heated	over-heats	over-heated
over-indulge	over-indulged	over-indulges	over-indulged
overjoy	overjoyed	overjoys	overjoyed
overlap	overlapped	overlaps	overlapped
overlay	overlaid	overlays	overlaid
overleap	overleaped	overleaps	overleaped
overleap	overleaped	overleaps	overleaped
overlie	overlay	overlies	overlay
overload	overloaded	overloads	overloaded
overlook	overlooked	overlooks	overlooked
overman	overmanned	overmans	overmanned
overmaster	overmastered	overmasters	overmastered
overpay	overpaid	overpays	overpaid
overplay	overplayed	overplays	overplayed
overpower	overpowered	overpowers	overpowered
over-praise	over-praised	over-praises	over-praised
overprint	overprinted	overprints	overprinted
over-produce	over-produced	over-produces	over-produced
overrate	overrated	overrates	overrated
overreach	overreached	overreaches	overreached
override	overrode	overrides	overrode
overrule	overruled	overrules	overruled
overrun	overran	overruns	overran
oversee	oversaw	oversees	oversaw
oversell	oversold	oversells	oversold
overshadow	overshadowed	overshadows	overshadowed
overshoot	overshot	overshoots	overshot
oversimplify	oversimplified	oversimplifies	oversimplified
oversleep	overslept	oversleeps	overslept
overstate	overstated	overstates	overstated
overstay	overstayed	overstays	overstayed
oversteer	oversteered	oversteers	oversteered
overstep	overstepped	oversteps	overstepped
overstock	overstocked	overstocks	overstocked
over-strain	over-strained	over-strains	over-strained
overtake	overtook	overtakes	overtook
overtax	overtaxed	overtaxes	overtaxed
overthrow	overthrew	overthrows	overthrew
overtop	overtopped	overtops	overtopped
overtrump	overtrumped	overtrumps	overtrumped
overturn	overturned	overturns	overturned
over-value	over-valued	over-values	over-valued
overweight	overweighted	overweights	overweighted
overwhelm	overwhelmed	overwhelms	overwhelmed
overwork	overworked	overworks	overworked
ovulate	ovulated	ovulates	ovulated
owe	owed	owes	owed
own	owned	owns	owned
oxidize	oxidized	oxidizes	oxidized
oxygenate	oxygenated	oxygenates	oxygenated
oxygenize	oxygenized	oxygenizes	oxygenized
pace	paced	paces	paced
pacify	pacified	pacifies	pacified
pack	packed	packs	packed
package	packaged	packages	packaged
pad	padded	pads	padded
paddle	paddled	paddles	paddled
padlock	padlocked	padlocks	padlocked
page	paged	pages	paged
paginate	paginated	paginates	paginated
pain	pained	pains	pained
paint	painted	paints	painted
pair	paired	pairs	paired
palatalize	palatalized	palatalizes	palatalized
palaver	palavered	palavers	palavered
pale	paled	pales	paled
palisade	palisaded	palisades	palisaded
pall	palled	palls	palled
palliate	palliated	palliates	palliated
palm	palmed	palms	palmed
palpate	palpated	palpates	palpated
palpitate	palpitated	palpitates	palpitated
palsy	palsied	palsies	palsied
pamper	pampered	pampers	pampered
pan	panned	pans	panned
pancake	pancaked	pancakes	pancaked
pander	pandered	panders	pandered
panel	panelled	panels	panelled
panhandle	panhandled	panhandles	panhandled
panic	panicked	panics	panicked
pant	panted	pants	panted
paper	papered	papers	papered
par	pared	pars	pared
parachute	parachuted	parachutes	parachuted
parade	paraded	parades	paraded
paragraph	paragraphed	paragraphs	paragraphed
parallel	paralleled	parallels	paralleled
paralyse	paralysed	paralyses	paralysed
paraphrase	paraphrased	paraphrases	paraphrased
parboil	parboiled	parboils	parboiled
parch	parched	parches	parched
pardon	pardoned	pardons	pardoned
pare	pared	pares	pared
park	parked	parks	parked
parley	parleyed	parleys	parleyed
parody	parodied	parodies	parodied
parole	paroled	paroles	paroled
parrot	parroted	parrots	parroted
parry	parried	parries	parried
parse	parsed	parses	parsed
part	parted	parts	parted
partake	partook	partakes	partook
participate	participated	participates	participated
particularize	particularized	particularizes	particularized
partition	partitioned	partitions	partitioned
